ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.9769,7.6594,2.2831,0.6667,6.544,7.2733,-3.399,-1.5504,2.1015,0.7926,1.1206,-0.853,16.82,-7.69,-33.21,35.885,14.480818,59.79,NaN,1.12,4.179349,232.0,20 / 27,9,2021-05-02 13:31:56:211
20.563,0.652,-2.9435,9.2178,-2.9563,1.5695,4.8973,-2.1765,5.8229,2.2068,-1.8102,1.3972,-7.65,2.11,-31.12,35.885,14.480805,60.05,NaN,1.55,3.80233,232.0,20 / 27,510,2021-05-02 13:31:56:712
-4.9448,0.8853,1.5347,8.9829,-3.5764,1.6395,1.7353,-1.6971,0.2995,-0.1025,-2.1341,1.3271,-27.95,11.83,-25.71,35.885,14.480805,60.05,NaN,1.55,3.80233,232.0,20 / 27,1009,2021-05-02 13:31:57:211
11.9037,-2.7141,2.1009,9.0391,-3.7325,0.7309,1.8655,-0.6042,1.6435,0.2109,-0.959,-0.4565,-30.78,7.66,-23.78,35.885,14.480794,61.37,NaN,0.0,3.790092,,20 / 27,1509,2021-05-02 13:31:57:711
1.6663,-7.081,-3.3407,2.556,-9.4462,-0.6377,0.9351,2.5178,1.123,-0.5664,0.346,0.8407,-27.33,18.96,-19.07,35.885,14.480794,61.37,NaN,0.0,3.790092,,20 / 27,2009,2021-05-02 13:31:58:211
-0.0562,-10.4949,0.0864,-3.1511,-9.2776,-0.4079,0.5844,0.2127,0.3099,0.0396,0.8132,0.3453,-5.84,33.78,-16.98,35.885,14.48078,60.62,NaN,2.02,3.790092,232.2,17 / 27,2509,2021-05-02 13:31:58:711
-1.7716,-7.4641,-1.9391,-2.1616,-8.8465,-3.6382,0.8545,0.0924,2.6313,-1.1014,0.7104,-1.2947,6.99,34.44,-15.59,35.885,14.48078,60.62,NaN,2.02,3.790092,232.2,17 / 27,3009,2021-05-02 13:31:59:211
-0.516,-8.3557,-1.8972,-0.5334,-9.3085,-3.0394,-3.1587,0.9588,0.8638,1.0262,-0.3179,0.7344,-8.81,38.78,-6.64,35.88499,14.480768,59.22,NaN,2.81,3.875481,232.1,19 / 27,3509,2021-05-02 13:31:59:711
-3.39,-9.3697,0.7029,-2.7434,-9.4077,-0.3735,-2.0169,1.0251,0.3048,0.3715,0.5269,0.1356,-9.39,38.65,-9.38,35.88499,14.480768,59.22,NaN,2.81,3.875481,232.1,19 / 27,4009,2021-05-02 13:32:00:211
-1.0304,-10.0065,-0.9957,-3.7833,-9.0475,0.0278,3.9996,-0.7777,0.8399,-0.7077,-0.6064,-0.1388,-4.44,38.1,-13.48,35.884987,14.480758,59.11,NaN,2.16,3.905518,252.0,19 / 27,4595,2021-05-02 13:32:00:797
-5.097,-12.5767,0.4286,-2.1486,-9.5526,-0.5496,0.0,0.0,0.0,-1.3541,-0.0049,-0.5218,-2.73,38.15,-14.21,35.884987,14.480758,59.11,NaN,2.16,3.905518,252.0,19 / 27,4680,2021-05-02 13:32:00:882
-5.2932,-8.959,0.1774,-0.6528,-9.5483,2.1387,0.0,0.0,0.0,0.232,0.1871,0.199,-15.79,39.34,-3.71,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,5314,2021-05-02 13:32:01:516
-5.2932,-8.959,0.1774,-0.6528,-9.5483,2.1387,0.0,0.0,0.0,0.232,0.1871,0.199,-15.79,39.34,-3.71,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,5314,2021-05-02 13:32:01:516
-3.5719,-9.1687,0.3401,-3.3316,-9.2188,0.2927,0.0,0.0,0.0,0.0269,0.8668,0.2857,-14.55,39.74,-4.25,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,5756,2021-05-02 13:32:01:958
-4.0531,-16.9292,-5.8367,-1.9186,-9.2549,-2.6145,0.0,0.0,0.0,0.1504,0.1122,0.1982,4.1,39.89,-10.63,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,6132,2021-05-02 13:32:02:334
