ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION Z (azimuth Â°),ORIENTATION X (pitch Â°),ORIENTATION Y (roll Â°),Time since start in ms,YYYY-MO-DD HH-MI-SS_SSS
-1.0827,1.6564,9.5466,-1.1647,1.6974,9.5881,0.1056,-0.0106,-0.1247,-0.0245,-0.0724,0.0138,9.75,16.69,-38,347.18,-9.97,6.93,32,2021-03-31 13:00:59:224
-1.08,2.0056,10.5779,-1.2829,1.9344,9.5279,0.1932,-0.8318,0.9773,0.7676,0.6196,0.2364,13.13,13.5,-38.12,340.03,-11.38,7.67,532,2021-03-31 13:00:59:724
0.1631,3.1856,9.9226,-0.7412,2.5471,9.441,1.2646,0.8542,-0.303,-0.3939,-0.5291,-0.3854,6.56,13.88,-39.81,350.9,-15.05,4.49,1032,2021-03-31 13:01:00:224
-2.6205,3.102,7.1937,-2.5802,3.8844,8.6269,0.0076,-0.71,-1.4657,-0.2044,-1.0487,-0.6122,7.06,8.63,-41,11.57,-23.33,16.65,1532,2021-03-31 13:01:00:724
-1.406,4.4798,5.561,-3.6305,5.0952,7.5517,1.2786,-0.9528,-2.7944,2.1719,0.8677,1.5693,17.13,0.63,-39.25,357.07,-19.91,22.49,2032,2021-03-31 13:01:01:224
-4.7034,4.6485,6.6415,-4.6661,4.6574,7.2598,0.1819,-0.0266,-0.108,-0.0245,0.2672,-0.0021,25.19,3.31,-34.37,353.33,-28.35,32.73,2533,2021-03-31 13:01:01:725
-2.8261,3.7567,8.3239,-2.5909,4.32,8.4139,0.5043,-0.8163,0.7347,-0.3503,-1.5491,-0.4056,12.56,5,-41.19,12.4,-28.99,24.95,3034,2021-03-31 13:01:02:226
-1.6106,-2.0191,8.0249,-4.3541,3.0804,8.2293,2.9394,-1.7833,-2.6591,1.0423,-0.115,1.0678,26.06,8.56,-31.44,337.97,-18.31,27.88,3533,2021-03-31 13:01:02:725
-11.6229,-4.6255,6.9128,-6.5803,-4.2507,5.8991,-3.2394,-0.1983,1.6307,0.6122,2.1612,1.2914,25,34.19,-2.06,325.35,25.69,48.12,4032,2021-03-31 13:01:03:224
-3.451,-10.9096,2.4543,-2.9001,-8.7754,3.279,-0.2381,-1.4707,3.5698,-1.4767,-2.1389,-5.6757,-3.31,41.63,11.5,345.24,32.4,70.47,4537,2021-03-31 13:01:03:729
1.3009,-10.4409,3.5206,0.1356,-9.0285,3.8258,0.3822,-1.3485,-0.0677,-1.2435,-2.2528,-3.1993,-28.37,35.13,2.81,61.09,67.02,-2.03,5032,2021-03-31 13:01:04:224
0.1615,-9.8313,1.8905,-1.5626,-9.5434,1.6282,1.685,-0.3243,-0.042,-0.28,1.4256,-0.1927,-21.75,37.31,-11.56,64.6,75.17,34.23,5533,2021-03-31 13:01:04:725
-1.4555,-8.7688,0.6249,-1.235,-9.6545,1.1977,-0.0946,0.8858,-0.5501,0.083,0.3524,-0.0788,-16.75,34.5,-21.75,77.17,79.04,51.63,6033,2021-03-31 13:01:05:225
-1.0839,-10.0334,1.161,-1.0021,-9.6121,1.6648,-0.0968,-0.3814,-0.3457,0.0916,-1.1424,0.3801,-20.81,33.81,-18.62,85.04,79.58,34.48,6533,2021-03-31 13:01:05:725
0.3704,-9.7007,2.411,-0.6313,-9.2342,3.2403,0.6268,-0.3794,-0.6687,-0.083,-1.0018,0.3556,-24.5,34.13,-8.56,84.91,72.05,0.57,7032,2021-03-31 13:01:06:224
0.5039,-9.2521,3.6909,-0.7539,-8.9908,3.8426,1.2188,-0.2666,-0.193,-0.1054,-0.346,0.2438,-19.62,38.88,-0.44,45.77,66.46,11.1,7533,2021-03-31 13:01:06:725
-0.6688,-8.5094,3.0641,-1.2442,-9.1258,3.3677,0.605,0.2596,-0.1054,0.0948,0.1224,-0.1735,-18.31,39.94,-1.25,41.35,68.52,20.28,8032,2021-03-31 13:01:07:224
-2.2056,-9.368,2.4636,-2.6437,-9.0547,2.682,-2.549,0.4255,-0.1523,0.1256,0.2385,1.0348,-15.5,39.94,-5.81,45.52,70.48,30.55,8532,2021-03-31 13:01:07:724
-4.5413,-8.9326,1.1912,-3.0401,-8.8914,2.8051,-0.4992,0.1092,-3.2795,-0.5451,0.3577,0.9262,-12.87,42.31,0.75,20.12,68.14,42.24,9032,2021-03-31 13:01:08:224
-4.1557,-7.4182,1.8158,-4.4108,-8.5796,1.762,-0.1195,1.2017,-0.0935,-0.23,-0.6015,-0.6835,-0.75,42.44,14.13,332.99,60.75,71,9532,2021-03-31 13:01:08:724
0.9846,-9.8148,1.8211,-2.0942,-9.3958,1.8716,0.1132,-0.7932,-2.254,-0.5653,-1.2052,-0.2534,-3.56,40.25,22.19,334.15,73.36,48.21,10032,2021-03-31 13:01:09:224
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,-9.69,38,25,326.17,82.78,61.11,10669,2021-03-31 13:01:09:861
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,-9.69,38,25,326.17,82.78,61.11,10670,2021-03-31 13:01:09:862
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,-9.69,38,25,326.17,82.78,61.11,10671,2021-03-31 13:01:09:863
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,-9.69,38,25,326.17,82.78,61.11,10676,2021-03-31 13:01:09:868
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,-9.69,38,25,326.17,82.78,61.11,10678,2021-03-31 13:01:09:870
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,-9.69,38,25,326.17,82.78,61.11,10681,2021-03-31 13:01:09:873
-4.0683,-9.656,1.1456,3.5603,-7.6806,-4.9499,-7.6202,-1.969,6.0874,-1.0583,-1.7215,-0.7538,6.25,35.25,-24.56,341.27,55.46,-136.3,11097,2021-03-31 13:01:10:289
-4.3366,-8.9577,1.7994,-2.8841,-9.318,1.0131,-1.4405,0.3645,0.7716,0.6462,-0.0894,0.6175,13.06,27.44,-32.19,74.08,80.23,120.82,11597,2021-03-31 13:01:10:789
0.1578,-20.4184,0.9918,-2.9442,-9.083,2.2359,3.0913,-11.3343,-1.2553,-0.6058,-0.9656,-0.4802,-1,28.88,-34.12,97.96,63.54,54.66,12098,2021-03-31 13:01:11:290
-0.0829,-11.7525,2.9589,-2.8533,-9.3004,1.2368,2.7846,-2.4478,1.7051,1.2126,0.1938,0.5728,-14.31,39.38,-19.19,52.92,71.51,66.57,12597,2021-03-31 13:01:11:789
-1.4806,-10.0296,2.34,-2.693,-9.4026,0.7134,2.2713,-0.8257,1.8166,-0.8762,-0.2715,0.1874,-17,42.88,-6.12,20.96,73.5,75.16,13097,2021-03-31 13:01:12:289
-1.8484,-9.8798,0.8402,-1.3975,-9.6954,0.4641,-0.2696,0.1241,0.1438,-0.1906,-0.2555,0.016,-18.06,43.75,-0.94,15.94,81.36,71.63,13597,2021-03-31 13:01:12:789
-1.8502,-8.0842,-2.2887,-1.3642,-9.1193,3.3387,1.8938,-0.599,3.2414,0.7729,1.4085,-0.6665,-16.31,39.75,-18.12,74.63,70.53,30.31,14097,2021-03-31 13:01:13:289
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14676,2021-03-31 13:01:13:868
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14677,2021-03-31 13:01:13:869
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14677,2021-03-31 13:01:13:869
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14678,2021-03-31 13:01:13:870
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14678,2021-03-31 13:01:13:870
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14679,2021-03-31 13:01:13:871
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14679,2021-03-31 13:01:13:871
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14679,2021-03-31 13:01:13:871
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,-2.56,42.69,-20,80.78,77.66,63.6,14679,2021-03-31 13:01:13:871
-1.6039,-9.7042,0.8,-1.6475,-9.6367,0.7678,0.1864,-0.1012,-0.1401,0.1171,0.3258,0.0394,27.56,33.5,15.31,240.97,80.29,66.75,15106,2021-03-31 13:01:14:298
-1.6044,-9.7257,0.4588,-1.8118,-9.6198,0.5881,0.2133,-0.0985,-0.1468,0.0149,0.0671,0.0564,26.81,33.88,16.06,239.28,78.43,72.83,15606,2021-03-31 13:01:14:798
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415986,2021-03-31 13:07:55:178
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415987,2021-03-31 13:07:55:179
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415987,2021-03-31 13:07:55:179
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415988,2021-03-31 13:07:55:180
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415988,2021-03-31 13:07:55:180
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415989,2021-03-31 13:07:55:181
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415989,2021-03-31 13:07:55:181
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415990,2021-03-31 13:07:55:182
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415991,2021-03-31 13:07:55:183
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415992,2021-03-31 13:07:55:184
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415993,2021-03-31 13:07:55:185
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415994,2021-03-31 13:07:55:186
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415995,2021-03-31 13:07:55:187
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415996,2021-03-31 13:07:55:188
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,23.81,35.69,19.88,256.02,79.21,66.32,415996,2021-03-31 13:07:55:188
