sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.8857;-0.915;9.5503;-1.1034;-0.0603;9.7442;-0.6645;0.8831;0.6781;-1.0842;-1.7585;0.1958;202.1326;-15.23;-27.36;-32.44;145.76;0.35;6.46;5.0;58.625;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;8;2021-03-19 12:15:58:176
-0.8139;1.2541;9.4306;-0.5532;1.0615;9.7333;-1.8757;0.1955;-0.1211;0.2783;-0.5358;1.6936;202.1326;-32.04;-13.65;-31.28;107.71;-6.21;3.25;5.0;55.109;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;508;2021-03-19 12:15:58:676
-10.2466;-11.1079;16.061;0.9801;6.8492;-6.9497;4.7212;-7.9441;-9.0559;-1.0009;-2.9897;-6.4581;202.1326;-28.17;-9.4;12.65;281.52;-44.3;-171.97;5.0;68.75;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;1007;2021-03-19 12:15:59:175
-4.3679;-7.6616;-4.618;3.5523;-8.1039;-4.2283;2.8049;-3.7581;-7.1497;0.0703;-0.1928;-0.358;202.1326;-19.09;29.61;11.43;232.01;69.56;-147.22;5.0;66.611;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;1508;2021-03-19 12:15:59:676
5.0936;-7.1863;-5.2249;4.002;-8.0153;-3.9886;5.1214;-3.4253;3.998;-0.4245;0.0546;0.3329;202.1326;-42.17;21.73;-14.01;261.04;60.17;-134.99;5.0;68.557;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;2008;2021-03-19 12:16:00:176
-4.2698;-0.9342;6.7887;4.4093;-7.049;-5.1999;1.355;1.7379;-0.2957;-0.0296;0.627;-1.0849;202.1326;-37.77;21.05;-8.42;273.7;49.53;-145.6;5.0;69.296;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;2508;2021-03-19 12:16:00:676
2.891;-8.2409;-3.9034;3.493;-7.32;-5.5124;-2.604;-0.1953;-1.0571;0.4249;-0.9775;-0.3583;202.1326;-32.36;20.21;-3.48;274.82;48.28;-147.64;5.0;62.329;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;3007;2021-03-19 12:16:01:175
0.7303;-3.7819;-5.8857;5.8493;-4.9318;-6.1346;0.3805;-3.277;1.8386;-0.8341;0.7256;-0.6069;202.1326;-30.28;20.24;-3.65;274.91;42.33;-133.66;5.0;68.076;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;3508;2021-03-19 12:16:01:676
9.0307;-3.2085;-11.3287;4.4976;-3.8006;-7.842;4.9471;0.3889;0.1034;0.1699;-0.6543;1.6112;202.1326;-33.14;19.89;-2.17;296.01;17.82;-143.68;5.0;68.063;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;4007;2021-03-19 12:16:02:175
2.9664;0.2964;-12.3581;4.7917;-6.5177;-5.5434;-0.6147;-1.6548;-0.1351;-0.2764;2.2525;-0.8897;202.1326;-24.66;31.37;-1.14;303.19;41.65;-139.16;5.0;68.418;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;4508;2021-03-19 12:16:02:676
