ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
-3.0943,2.833,9.6724,-1.9644,2.6822,9.2259,0.7918,0.0129,0.4631,-0.0442,-1.6485,-0.055,42.8408,-17.18,-3.3,-27.01,76.88,-18.95,9.29,2021-03-19 12:19:57:874
10.3761,-0.4697,-14.4961,3.5679,0.8973,-9.0904,11.4416,-2.6962,-8.1618,6.9743,1.6908,1.3735,42.8408,-14.38,6.79,6.84,307.49,-5.25,-158.57,2021-03-19 12:19:58:375
-7.9088,-9.0154,-4.63,3.7074,-7.4396,-5.2036,-4.2536,-2.6802,-5.1051,1.788,0.1102,-2.2929,42.8408,-8.7,36.52,6.98,348.33,49.34,-144.53,2021-03-19 12:19:58:875
2.484,-9.5757,-7.4311,2.6032,-6.3417,-7.0126,0.2373,0.2044,-0.6375,0.7129,0.5307,-0.2923,42.8408,-20.93,33.94,-3.92,318.27,40.29,-159.63,2021-03-19 12:19:59:375
-34.3037,11.4218,2.7055,3.1553,-8.4514,-3.8457,3.3438,-2.8124,-5.3847,0.238,2.677,-0.6228,42.8408,-20,32.82,-7.5,304.67,56.44,-147.76,2021-03-19 12:19:59:877
3.6332,-4.1542,-2.1006,3.5117,-8.2071,-4.0597,2.4938,-0.8266,0.8653,-0.0675,-0.0141,-0.493,42.8408,-27.02,25.88,-8.28,282.19,57.23,-142.77,2021-03-19 12:20:00:375
4.1826,-8.7186,-9.1213,4.5595,-7.1796,-4.882,0.2102,0.7028,0.1001,-0.5006,-0.3379,0.5119,42.8408,-27.5,25.16,-8.02,285.76,47.06,-136.96,2021-03-19 12:20:00:874
2.8635,-5.4207,-5.0394,3.854,-5.4388,-7.1928,0.3865,-2.4981,2.1872,-1.0549,0.5536,1.3644,42.8408,-25.45,28.55,-2.33,308.93,33.68,-151.82,2021-03-19 12:20:01:375
3.3064,-6.0252,-0.3685,4.4905,-5.918,-6.4017,1.9937,2.1309,-0.0786,0.4457,1.5561,0.2007,42.8408,-17.24,35.24,3.35,328.26,36.09,-152.24,2021-03-19 12:20:01:874
0.6561,-5.605,-8.6497,2.7729,-7.9099,-5.0907,-0.5354,1.5249,0.6808,0.8708,0.2491,0.1527,42.8408,-10.17,39.36,0.7,340.6,44.7,-152.35,2021-03-19 12:20:02:374
