ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms,YYYY-MO-DD HH-MI-SS_SSS
-1.0827,1.6564,9.5466,-1.1647,1.6974,9.5881,0.1056,-0.0106,-0.1247,-0.0245,-0.0724,0.0138,32,2021-03-31 13:00:59:224
-1.08,2.0056,10.5779,-1.2829,1.9344,9.5279,0.1932,-0.8318,0.9773,0.7676,0.6196,0.2364,532,2021-03-31 13:00:59:724
0.1631,3.1856,9.9226,-0.7412,2.5471,9.441,1.2646,0.8542,-0.303,-0.3939,-0.5291,-0.3854,1032,2021-03-31 13:01:00:224
-2.6205,3.102,7.1937,-2.5802,3.8844,8.6269,0.0076,-0.71,-1.4657,-0.2044,-1.0487,-0.6122,1532,2021-03-31 13:01:00:724
-1.406,4.4798,5.561,-3.6305,5.0952,7.5517,1.2786,-0.9528,-2.7944,2.1719,0.8677,1.5693,2032,2021-03-31 13:01:01:224
-4.7034,4.6485,6.6415,-4.6661,4.6574,7.2598,0.1819,-0.0266,-0.108,-0.0245,0.2672,-0.0021,2533,2021-03-31 13:01:01:725
-2.8261,3.7567,8.3239,-2.5909,4.32,8.4139,0.5043,-0.8163,0.7347,-0.3503,-1.5491,-0.4056,3034,2021-03-31 13:01:02:226
-1.6106,-2.0191,8.0249,-4.3541,3.0804,8.2293,2.9394,-1.7833,-2.6591,1.0423,-0.115,1.0678,3533,2021-03-31 13:01:02:725
-11.6229,-4.6255,6.9128,-6.5803,-4.2507,5.8991,-3.2394,-0.1983,1.6307,0.6122,2.1612,1.2914,4032,2021-03-31 13:01:03:224
-3.451,-10.9096,2.4543,-2.9001,-8.7754,3.279,-0.2381,-1.4707,3.5698,-1.4767,-2.1389,-5.6757,4537,2021-03-31 13:01:03:729
1.3009,-10.4409,3.5206,0.1356,-9.0285,3.8258,0.3822,-1.3485,-0.0677,-1.2435,-2.2528,-3.1993,5032,2021-03-31 13:01:04:224
0.1615,-9.8313,1.8905,-1.5626,-9.5434,1.6282,1.685,-0.3243,-0.042,-0.28,1.4256,-0.1927,5533,2021-03-31 13:01:04:725
-1.4555,-8.7688,0.6249,-1.235,-9.6545,1.1977,-0.0946,0.8858,-0.5501,0.083,0.3524,-0.0788,6033,2021-03-31 13:01:05:225
-1.0839,-10.0334,1.161,-1.0021,-9.6121,1.6648,-0.0968,-0.3814,-0.3457,0.0916,-1.1424,0.3801,6533,2021-03-31 13:01:05:725
0.3704,-9.7007,2.411,-0.6313,-9.2342,3.2403,0.6268,-0.3794,-0.6687,-0.083,-1.0018,0.3556,7032,2021-03-31 13:01:06:224
0.5039,-9.2521,3.6909,-0.7539,-8.9908,3.8426,1.2188,-0.2666,-0.193,-0.1054,-0.346,0.2438,7533,2021-03-31 13:01:06:725
-0.6688,-8.5094,3.0641,-1.2442,-9.1258,3.3677,0.605,0.2596,-0.1054,0.0948,0.1224,-0.1735,8032,2021-03-31 13:01:07:224
-2.2056,-9.368,2.4636,-2.6437,-9.0547,2.682,-2.549,0.4255,-0.1523,0.1256,0.2385,1.0348,8532,2021-03-31 13:01:07:724
-4.5413,-8.9326,1.1912,-3.0401,-8.8914,2.8051,-0.4992,0.1092,-3.2795,-0.5451,0.3577,0.9262,9032,2021-03-31 13:01:08:224
